return_1y,return_3y,return_5y,return_10y,beta,sharpe,alpha,scheme_code,scheme_name,category
-0.005815240000354049,0.1355546920254973,0.11800569823785834,0.11630866511032445,0.9289740801548243,0.5391129150969318,0.048045111721813846,118424,BANDHAN Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.03824620573355819,,,,0.895261110902266,0.714701486383904,0.0852624133284837,151895,Bajaj Finserv Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.0649441340782122,,,,1.0815837222390419,0.6211680064690442,0.09226456880887965,152135,Helios Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.020295621362098837,0.177538885133667,0.1458308166059361,0.13820607996198842,1.0604556141644879,0.7090890903921861,0.08622946822011819,120046,HSBC Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.017083928682363192,0.14589363886338447,,,0.9934031494762359,0.5707950430462299,0.057380073062326495,151412,Mirae Asset Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.032549007920246176,0.13216074515602227,0.11215274273438292,,0.8847424263721845,0.5205984184419403,0.04556406382746636,144546,Tata Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.016726044510248395,0.16567546214604367,0.14817111283737083,,1.0364490674001627,0.677395191738714,0.0747372413390423,140353,Edelweiss Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.045255474452554734,,,,0.9229931899607524,0.2658566862328542,0.029398965399334523,151917,NJ Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.00907473309608553,0.13025349767845906,0.12135172712707587,0.1377631017380545,0.9726922823066663,0.4752678635669292,0.0433355447773746,119292,Union Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.0260668654594286,0.11753250230454837,,,0.9480226766734992,0.40652089048318163,0.031172598879651375,150571,Sundaram Flexicap Fund,Equity Scheme - Flexi Cap Fund
0.029755004754028036,,,,0.9984498233807336,0.6647487151402672,0.09242562419320985,151796,360 ONE Flexicap Fund,Equity Scheme - Flexi Cap Fund
-0.027358660477222463,0.12927345519381261,,,0.9752999571901082,0.475712727500676,0.042011254068642104,149104,Mahindra Manulife Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.061893203883495174,0.20056804757683455,,,1.0677773998319597,0.8081931587329245,0.10710341475105864,151379,ITI Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.010062885234447094,0.14896540439125228,,,1.006225094671436,0.5644137026114074,0.06117041212206936,150387,Baroda BNP Paribas Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
0.01728608470181503,,,,1.0124778125574028,0.13142856439498823,0.06303053833800787,152584,TRUSTMF Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.08230088495575238,0.012184273858861783,,,0.9838288592595441,-0.2464697417963499,-0.06763203981259484,149450,Samco Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.014581100392997426,0.09894121487367658,0.0960312377305681,,1.0268407367644758,0.2513595701573431,0.016254110411708156,144905,Shriram Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.028290177616092538,0.12032959860393411,0.09851409843454828,0.09675304162519849,1.0220751449396446,0.3968106471048156,0.040532553420353015,118883,Taurus Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
,,,,1.069172488377095,-0.7974038309215941,0.07930468483327877,153859,JioBlackRock Flexi Cap Fund,Equity Scheme - Flexi Cap Fund
-0.0013162108749482648,0.17587278496215952,0.19362074825426134,0.1524359790701051,0.8244433056254746,0.8931057024248055,0.08463417997984035,118950,HDFC Focused Fund,Equity Scheme - Focused Fund
-0.06328923241982043,0.11351057825567512,0.11769252879460534,0.1393475073466881,0.9345586422563488,0.3793938658307862,0.027711663098703446,118564,Franklin India Focused Equity Fund,Equity Scheme - Focused Fund
-0.04723411000158506,0.08965539684269341,0.05731929625790699,0.12349563487848281,0.916285097962077,0.2048064845759315,0.006611372961910847,120468,Axis Focused Fund,Equity Scheme - Focused Fund
0.0006033801887233015,0.14528006842784347,0.12259113164436486,0.1348266561197189,0.9844619928413301,0.5885230275693116,0.05608657896099245,119564,Aditya Birla Sun Life Focused Fund,Equity Scheme - Focused Fund
-0.07782899949578614,0.077199816175749,0.0782893733341079,,0.9085063689136224,0.11653962672510997,-0.005311213795616998,147206,Mirae Asset Focused Fund,Equity Scheme - Focused Fund
0.003113818043395611,0.13128719590969018,0.13255333218042376,0.1686114123464446,1.031453558395645,0.45758323029761155,0.04455904233020158,131580,360 ONE Focused Fund,Equity Scheme - Focused Fund
-0.04285714285714293,0.21330400257501458,0.16028462714918934,,1.0073379927909554,0.89342730946952,0.11863267219967334,148481,Invesco India Focused Fund,Equity Scheme - Focused Fund
-0.01815902756015897,0.15748997054582214,0.11784353379389656,0.12894766081060416,0.9728701681446483,0.6313333246440682,0.06875440746174336,119096,DSP Focused Fund,Equity Scheme - Focused Fund
0.01927654819657576,0.1836495531002591,0.16744936268343458,,0.9842012231302478,0.8213260014158498,0.09060435832609395,148567,Mahindra Manulife Focused Fund,Equity Scheme - Focused Fund
0.007817493485422045,0.16171283654104762,0.1322785584900723,0.14383799031934763,0.9806160822389169,0.6349076989616653,0.0733499401517646,118421,Bandhan Focused Fund,Equity Scheme - Focused Fund
-0.0018748955074160412,0.13393634344477467,0.1274455288016627,,1.0126678812213439,0.4811932831984028,0.04686860053649544,147757,Tata Focused Fund,Equity Scheme - Focused Fund
0.044112681399981035,0.15880562815178778,0.13932690698189343,,1.0361334100600101,0.6029233804232133,0.07023567331083001,148411,HSBC Focused Fund,Equity Scheme - Focused Fund
